model:model/t1c0.1-t2c0.01-lr0.15-decay0.95-gau3-ep10-gr10.pkl
input_data:sample_data/input.dat
output_dir:output/out1.txt
dataset length: 3000
features per example: 136
(誤差平均, 誤差分散), ニューロン使用率, 階層数, マップ数, ニューロン数
(113.1063, 43.39544),1.1905,4,18,150
header layer 0 1 2 3 (y,x)
[1-5000] 2 root root root root (0,0)
[5001-10000] 2 root root root root (0,0)
[10001-15000] 2 root root root root (0,1)
[15001-20000] 2 root root root root (0,0)
[20001-25000] 2 root root root root (0,1)
[25001-30000] 2 root root root root (0,1)
[30001-35000] 2 root root root root (1,1)
[31280-36279] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,0) (0,1)
[6730-11729] 2 root root(1,3) None None (3,1)
[8581-13580] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,0) (0,1)
[35001-40000] 2 root root root root (0,1)
[40001-45000] 3 root root root root (1,0)
[45001-50000] 2 root root root root (1,1)
[50001-55000] 2 root root root root (1,0)
[55001-60000] 2 root root root root (1,0)
[60001-65000] 2 root root root root (0,1)
[65001-70000] 2 root root root root (3,1)
[70001-75000] 3 root root root root (1,1)
[75001-80000] 3 root root root root (0,0)
[80001-85000] 3 root root root root (0,1)
[85001-90000] 3 root root root root (0,3)
[90001-95000] 3 root root root root (0,1)
[95001-100000] 3 root root root root (0,1)
[100001-105000] 3 root root root root (1,1)
[105001-110000] 2 root root root root (0,1)
[110001-115000] 3 root root root root (0,1)
[115001-120000] 2 root root root root (0,1)
[120001-125000] 2 root root root root (0,1)
[125001-130000] 2 root root root root (0,1)
[130001-135000] 2 root root root root (0,1)
[135001-140000] 3 root root root root (1,1)
[140001-145000] 3 root root root root (0,0)
[145001-150000] 3 root root root root (0,0)
[150001-155000] 2 root root root root (0,1)
[155001-160000] 2 root root root root (0,1)
[160001-165000] 3 root root root root (1,1)
[165001-170000] 3 root root root root (2,1)
[170001-175000] 3 root root root root (0,1)
[175001-180000] 3 root root root root (1,3)
[180001-185000] 3 root root root root (3,1)
[185001-190000] 2 root root root root (3,0)
[190001-195000] 3 root root root root (1,1)
[195001-200000] 2 root root root root (0,1)
[200001-205000] 3 root root root root (0,0)
[205001-210000] 3 root root root root (1,1)
[210001-215000] 3 root root root root (0,0)
[215001-220000] 3 root root root root (1,0)
[220001-225000] 3 root root root root(0,3) (1,2)
[225001-230000] 3 root root root root(0,3) (0,0)
[230001-235000] 3 root root root root(0,3) (0,0)
[235001-240000] 3 root root root root(0,3) (1,4)
[240001-245000] 3 root root root root(0,3) (0,0)
[245001-250000] 3 root root root root(0,3) (0,0)
